project_id|project_name|status|total_commitment_usd|approval_date|end_date|sector|theme|borrower|implementing_agency|country|project_url|source
P003182|Refinery Modification Engineering Project|Closed|5.1|1982-05-20 00:00:00+00:00|1987-09-30|(Historic)Refining, storage and distribution|Unknown|||Republic of Zambia||World Bank
P003180|Education Project (05)|Closed|25.0|1982-05-20 00:00:00+00:00|1988-03-31|Secondary Education|Unknown|||Republic of Zambia||World Bank
P003179|Smallholder Dairy Development Project|Closed|7.5|1981-12-15 00:00:00+00:00|1988-06-30|Livestock|Unknown|||Republic of Zambia||World Bank
P003178|Southern Province Agricultural Development Project|Closed|18.0|1981-12-08 00:00:00+00:00|1991-06-30|(Historic)Agriculture adjustment|Unknown|||Republic of Zambia||World Bank
P003176|Eastern Province Agricultural Development Project|Closed|11.0|1981-05-21 00:00:00+00:00|1988-06-30|(Historic)Agriculture adjustment|Unknown|||Republic of Zambia||World Bank
P003177|Development Bank of Zambia Project (02)|Closed|15.0|1980-12-02 00:00:00+00:00|1987-06-30|(Historic)Financial sector development|Unknown|||Republic of Zambia||World Bank
P003175|Railway Project (03)|Closed|40.0|1979-12-27 00:00:00+00:00|1986-09-30|Railways|Unknown|||Republic of Zambia||World Bank
P003174|Technical Assistance Project (01)|Closed|5.0|1978-12-21 00:00:00+00:00|1987-07-31|(Historic)Public sector management adjustment|Unknown|||Republic of Zambia||World Bank
P003173|Coffee Production Project|Closed|6.0|1978-12-14 00:00:00+00:00|1985-09-30|(Historic)Perennial crops|Unknown|||Republic of Zambia||World Bank
P003172|Highway Project (03)|Closed|22.5|1978-05-11 00:00:00+00:00|1987-07-31|(Historic)Highways|Unknown|||Republic of Zambia||World Bank
P003169|Industrial Forestry Project (02)|Closed|16.8|1977-05-12 00:00:00+00:00|1983-12-31|Forestry|Unknown|||Republic of Zambia||World Bank
P003170|Education Project (04)|Closed|13.3|1976-12-23 00:00:00+00:00|1983-03-31|Vocational training|Unknown|||Republic of Zambia||World Bank
P003171|Program Loan Project (02)|Closed|30.0|1976-09-07 00:00:00+00:00|1977-06-30|(Historic)Economic management|Unknown|||Republic of Zambia||World Bank
P003168|Development Bank of Zambia Project (01)|Closed|15.0|1976-02-10 00:00:00+00:00|1982-03-31|(Historic)Financial sector development|Unknown|||Republic of Zambia||World Bank
P003165|Telecommunications Project (01)|Closed|32.0|1975-05-27 00:00:00+00:00|1983-12-31|(Historic)Telecommunications and informatics|Unknown|||Republic of Zambia||World Bank
P003167|Lusaka Squatter Upgrading and Sites and Services Project|Closed|20.0|1974-07-05 00:00:00+00:00|1981-12-31|(Historic)Urban housing|Unknown|||Republic of Zambia||World Bank
P003166|POWER KARIBA-NORTH(S|Closed|42.1|1974-07-05 00:00:00+00:00||(Historic)Hydro|Unknown|||Republic of Zambia||World Bank
P003164|Kafue Hydroelectric Power/Second Stage Project|Closed|115.0|1973-07-05 00:00:00+00:00|1982-12-31|(Historic)Hydro|Unknown|||Republic of Zambia||World Bank
P003163|Program Loan Project|Closed|30.0|1973-06-14 00:00:00+00:00|1974-06-30|(Historic)Economic management|Unknown|||Republic of Zambia||World Bank
P003162|Education Project (03)|Closed|33.0|1973-05-31 00:00:00+00:00|1983-03-31|Secondary Education|Unknown|||Republic of Zambia||World Bank
